sentence,emotion
i really am grateful everyday for how lucky i ve been in the past years some specific things have been popping into my head today as i m feeling particularly nostalgic and missing home,love
i feel cranky bc my dads st alarm when off the nd the neighbors dog started barking at,anger
i kinda feel pressured because since he doesnt speak spanish i basically have to teach everything,fear
i have been asking myself some difficult questions in an attempt to understand why i feel this strange push and pull between different aspects of my life,fear
i went to bed i peaked in on my daughter and was able to fall asleep feeling so very thankful for what i do have why are they always so precious when they are sound asleep img src http s,joy
im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom,anger
i feel your pain title share on delicious rel nofollow target blank img src http www,joy
i know what youre thinking to make money to have security to feel useful and appear successful,joy
i see the shots of the film i feel shocked,suprise
i want to be able to eat anything i want without feeling guilt without being greedy,anger
i tend to feel a little offended when he says that he needs time to himself even when it is not me he is mad at,anger
i feel i have concerns with homework i will send a friendly reminder outlining my concerns,joy
i suppose so that he can feel that his life is worthwhile,joy
i still feel horrible and think that i am going to end up sick once again,sad
i feel jaded my cynicism and disappointment and eventual hatred that the world has lost its magic,sad
i feel like some kind of anomaly being bothered by this kind of thing,anger
i feel when i wear a kind of rebellious do what i want when i want and you cant stop me kind of outfit,anger
i have become a person who understands real fear and how it feels to be hated by an individual so intensely that violence seems like a logical consequence to tension,anger
i did lay back in a little boat close my eyes and feel the gentle rocking,love
i feel relieved of skin issues and i feel pretty,joy
i feel like a burden all the time and it s just a miserable feeling,sad
i very much hope i havent made anyone reading this feel sympathetic,love
im feeling nostalgic for it and its not even gone yet,love
i feel as if i am caring for my own mom and i try to give her all the love i wanted and needed and i think mom needed when she was growing up too,love
i have been busy i handed in a formative assignment today and i am altogether feeling shaky,fear
i am feeling inspired and happy at the moment im sharing a pic of mt,joy
i said i feel the way you did when you were seeing marilyn and you said it bothered you more to see me than not to see me,anger
i rarely feel about tim burton movies is that theyre funny,suprise
i feel so selfish i hurt people i shouldnt be hurting and ive been doing things i shouldnt be doing,anger
im hoping in a few weeks time i can be back where i was about a month ago feeling amazing and looking forward to summer,suprise
i have to go to court on the nd and i just feel really like uptight about everything right now,fear
i can t say i know what it feels like to fall in romantic love with a person save perhaps the strangers whose stories i invent with whom i frequently fall in love in libraries on trains in coffee shops i surely know what falling in love feels like,love
i just had my wisdom teeth out days ago so i know exactly how you feel i was terrified of dry socket too as well as every little thing that was going on in my mouth,fear
i cant help but feel nervous or pressure,fear
i do not feel i have much worth showing i feel a bit dismayed about my work in general,sad
i know that i could be repeating myself but i always feel amazed by different lives,suprise
im not feeling impatient,anger
i walk and walk i get there i throw the balancing stick over and put my risk out and i feel emotional and brave also sore because of the handcuffs and i was gone to court and the judge says i have community service,sad
i say that i feel insulted is that this book is not apparently self published,anger
i miss him a lot and it doesn t help that i am starting to feel really horny,love
i feel surprised yet very very honored to be on the website with all the other amazing models,suprise
i feel bad that i must have misbehaved at hims place,sad
i keep reminding myself its not for long and it will be worth it in the end when we have our mortgage free forever home but right now i feel a little overwhelmed,suprise
i feel rude if i want to listen to music,anger
i want to feel comfortable and we knew it,joy
i know harry potter but they are a whimsical diversion and i feel very supportive towards them since they did get some children reading again,love
im feeling a bit greedy myself so get those undies back off and get back in that bed boy,anger
i just feel bitchy he will just be there,anger
i feel like something sweet to start off my day,love
i am very sorry too for those people who feel unhappy with my work it is my bad,sad
i just found out the hard way there was definitely water an hour ago when i was doing the dishes and now i feel dirty and ive had beans at least twice in the last hours,sad
i can just feel my body aching,sad
i had a great running week i finally feel like i am back in the training groove and i am loving it,love
i remember riding along the babbling brooks and streams putting my feet in the cool refreshing water seeing the mountains prairies hearing the birds whistle watching wild life in the mountains feeling the wind on my back and the gentle breezes on my face,love
i feel utterly miserable,sad
i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc,anger
i do not want others to perceive me as inferior for being fat which comes from me defining and perceiving myself as inferior for being fat and on the flip side i want to loose weight and i say that i will loose weight in order to make myself feel superior compensate for the feeling of inferiority,joy
i was frustrated at my own failures and when i saw my failures mirrored in another person i couldnt help but feel a restraint and like second nature become cold and mean when all that was happening was that i felt unsatisfied in myself,anger
i feel like my world is a bit shaky and im having trouble keeping my center,fear
i really enjoyed the back to basics feel to the movie and im hopeful that skyfall will be starting a good trend in bond movies for the foreseeable future,joy
im feeling pretty excited,joy
im feeling a little neurotic,fear
i feel like a coke that has been shaken up and ready to explode,fear
i start to think maybe im not the only one whos feeling the chaos of a soul and longing for a way to find a little peace,love
ive taken for a subscription amp i was left feeling they would really know what i liked,love
i feel a bit weepy at the thought of how quickly time seems to be going by now that they re here,sad
i would feel privileged for the opportunity,joy
i said leaning away from him feeling a bit outraged,anger
i feel very stunned that people got it in a big way,suprise
i feel more comfortable with my training plan,joy
i feel like i finally entered or accepted that i ve entered the mother part of life,love
i feel sympathetic for myself for caring too much about people around me who might not even care about me,love
i was feeling less clever as i got to the junction onto bostall hill and positively wretched as i clawed my way towards the heath using the shamed granny wheel to move marginally quicker than the actual granny i only just overtook,joy
i woke up feeling troubled logged onto the internet amp saw troubles,sad
i wanna feel i wanna hold i wanna touch your body i wanna give you all my tender loving tonight bloglyrics,love
im feeling somewhat nostalgic today,love
i want to feel connections with the curious vietnamese,suprise
i do have issue with my confidence level i feel ugly most of the times i envy beautiful flawless people and there are times that i just want to break down and cry,sad
i feel so appreciative each day just knowing we all get to wake up and do what it is we love and our fans love us for that,joy
i already feel neglectful,sad
i feel towards your music and has thus enraged my wife by rehearing the same album over and over and over and over again,anger
i feeling a little tender and uncomfortable but the needle marks on my bum are worse,love
i am sorry but there is nothing to make me feel impressed by this person so get her him off my screen,suprise
when i was walking at night,fear
i feel in vain i kneel when will you come,sad
im writing this i feel a sense of longing,love
i feel dissatisfied about the ending of the book,anger
i can not buy yarn i can certainly accept a gift of yarn if one if feeling generous,love
i love the jeans at the first glance but i feel hesitate because of the price but when i put them on i was shocked at how perfect they fit,suprise
i have a feeling that if lehman brothers was lehman brothers and sisters they might still be around i am not surprised either,suprise
i cared that he won which is way more intense a feeling than i would have felt had i simply been surprised that he won,suprise
i feel strongly that it is my responsibility to encourage these gifts and be supportive of them regardless of what they may be,love
i do two if im feeling impatient or bored or my challenge for the day is too easy,anger
i was sweating my butt of and i was only hitting a ball lol i look back at these photos and feel disgusted,anger
i feel proud to be a reader and watch them mingle it makes me jolly,joy
i just attributed it to a culture of men having subconscious control over women by implementing in their heads the idea that feeling embarrassed is sexy,sad
i was feeling a bit guilt since he came back and i accepted him,love
i was i entered local school and i remember feeling very repressed,sad
i feel surprised and disappointed and somewhat cranky,suprise
i have less than a second to decide if i know you or not before you will feel insulted if i fail to acknowledge you as a non stranger,anger
i feel shaken but thankful to god as a couple of inches difference and we could have gone over the edge,fear
i feel unsure of her love,fear
i feel really curious and i really wonder why they made this movie at all at the first place,suprise
im sort of feeling shocked at how far ive come,suprise
i reached the kitchen i was feeling less and less convinced that the cats were to blame,joy
i was feeling sarcastic mean its just how i am and the girl i mentioned before was like did you dye your hair darker,anger
i feel burdened because i still have work to do,sad
i have never experienced any sort of release like what she experienced with the king i feel somewhat jealous,anger
i was feeling dazed and spent i chose to take a brief tour through the nearest mall which turned out to be the most depressing mall i had ever been inside,suprise
i rationalized away the warning signs i was feeling because i liked him and gave him the benefit of the doubt because the communication was constant,love
i wanna feel the lovely sunris in me im free today,love
i feel extremely insulted by my mother,anger
i didnt feel as obnoxious as before when i didnt feel like doing anything but sulk,anger
im feeling very low,sad
i start feeling like you only keeping me arond for your own selfish purposes and not because you fuck with me then it gotta cut my ties because those arent the people i want in my life,anger
ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum,joy
i have actually been sleeping in a bit which feels amazing,suprise
i always leave her feeling glad and a bit sad glad because we hung out and sad because i can t take her home with me or do anything more for her,joy
i feel like there s a hideously funny come on in there offer to blowdry a s e s hair,suprise
i do have to do that its resolved into feeling really good because of all the things that are good and helpful and healing that ive learned because of that stress,joy
i couldnt help feeling a little offended,anger
i feel a little terrified about coming,fear
i think a big part of the unreal feeling is that lots of things are still uncertain,fear
i cant wait to start feeling nervous sweet,fear
i want this alchemical mix to become my common modus operandi and i feel thrilled by the adventure my new found gift promises,joy
i feel so blessed to have been her daughter and to have been taught unconditional love by her,love
i can feel it and look with eager anticipation for what is to come,joy
i feel like that combo is kinda weird,suprise
i feel devastated tb rpttype infinite tb rptnbr tb speed tb delay var tb wiper var tb space var tb currmsg var tb counter var tb index tb main function tb main document,sad
i calculations reliably and feel safe about long term lending and capital investment projects,joy
i feel like ive devoted far too much time to league of legends over the years,love
i get the feeling that the creative output for this comeback culminated in the o pose in the beginning,joy
i feel incredibly selfish just saying any of this,anger
i feel enraged and hurt but they re so much fewer now and i remind myself every time they happen that the best way to recover is to focus on where i m going not where i ve been,anger
im feeling skeptical at first to highlight this be onto this blog of mine but alas this is the way to communicate as well as helping our community to breath within the spaces of this modernistic life,fear
i have so many things in my little brain that sometimes i feel overwhelmed,suprise
i want to be respected but i want them to feel loyal to me because they know i will have their back,love
i imagine feeling so strong and healthy not a care in the world blissfully happy and relaxed,joy
i feel homesick for a country that ive never been to,sad
i feel dull and awake treading water in a stagnant overly metaphorical pond of consciousness,sad
ive been heavily in my head and have had some horrendous nightmares that are placing me in an area of feeling victimized,sad
i went to bed last night feeling dazed like the day just went by without me being totally conscious of it,suprise
i ended up giving away more than cards and while doing each card other than trying to maintain my handwriting i was feeling all nostalgic and thinking these are really the people who have brought so much joy to a my short years in sr,love
i feel he was not given as much depth as i would have liked for a supporting character with a great deal of importance to the story,love
im also not feeling so impatient for the results,anger
i just like to be needed or have a desire to feel special,joy
ive been feeling sort of artistic but i dont know what to make,joy
i feel about miley cyrus anymore funny a href http www,suprise
i cling to those promises when i am feeling discouraged,sad
im feeling nostalgic for recipes i havent made in a while,love
i feel like some valuable social etiquette has been lost on our youth,joy
im not exactly sure what this feeling im feeling is because its sort of like needing to vomit and sort of like being horny and sort of like wanting to laugh my ass off and sort of like i about to cry,love
i feel strangely smug about one event that was held in blyth,joy
i abruptly break away feeling dazed and now deeply aroused,suprise
i have a feeling this book is going to be amazing,suprise
i feel cautioned sometimes i feel surprised and joyous,suprise
i feel fantastic and master actors damaging for,joy
im feeling well enough that day to go,joy
i often think of people like him they outnumber those with better circumstances and since then i think many of the affluent who drink so much are doing so for the same reason their financial affluence hasnt really made them feel contented about their life,joy
i did feel a bit shaken cuz at points i couldnt help but imagine my brother being cut open for his autopsy,fear
i thought to myself if only you knew what father was doing to me in private to make me obey in public you would not feel so impressed,suprise
i have been feeling peaceful purposeful and grateful,joy
i cant help but feel irritated because i so badly want her to be with in woo which she does in the end,anger
i feel like i have to leave so much of my life out when i talk with my mother because i know she has hated so many people in my life,anger
i murakami but the first that i feel captures what makes him so beloved by his fans,joy
i feel very lucky to be employed,joy
i think youre forced to the conclusion that theres something about driving that makes you feel aggression rather than caring toward other people,love
i woke up feeling a bit funny so i decided to go to the markets get some food do some life chores etc,suprise
i spent the first few hours feeling intensely agitated and was pretty well bouncing off,anger
i can already feel myself being less friendly,joy
i feel romantic and so dreamy when i look at these pretty spaces,love
i feel much less randomly hostile and my ups and downs have decreased significantly,anger
i admit that after being single for almost three years i feel a little bit lonely,sad
i believe what makes people feel super special is when they are wanted by others especially when u make them feel they are always part of your existence,joy
i feel a bit stubborn about them this time because i am determined that they will grow on my needles,anger
i feel that soon it will collapse like my beloved dimmesdale,love
i feel wonderful and am totally loving and going to keep loving this feeling,joy
i see what the ritalin culture is doing to the children and their flias i feel shocked,suprise
ive got this disclaimer right on my home page about how i feel about casual sex,joy
i feel less inhibited by any inherent prejudices in any revelations,fear
i feel so shamed to see that i let myself go out looking like that,sad
im feeling a little delicate after a night out with lynne last night i had to sit down in the shower this morning,love
i would like to confess that i boarded the train from edinburgh to newcastle not with the most positive outlook my previous week teaching had been hard and i feel that i had missed the mark on a lot of areas of my practice and was feeling really negative about myself,sad
i wore my new outfit to work felt better in it but had this lingering feeling that i cant be content to stay in this size,joy
i feel helpless like i want to hurl over and just cave in to the sadness trying to devour me,fear
i always make my way to my mom to greet and hug her first and so i was weaving my way through toward her feeling somewhat stunned in my exhausted mind at the birthday greetings being said and shouted from all around me,suprise
i make you feel he looked stunned,suprise
i think im feeling withdrawals from the conference is that weird,suprise
i feel like im being tortured here,fear
i do this but it is done for a few more months and i can stop feeling stressed about not being able to find what i am searching for in my stitching nest,anger
i was revelling in the feeling so much that i almost missed what she said,sad
i am feeling apprehensive about it given the zoning out i did in april and the fact it tired me out more than i imagined it would,fear
i wish i was listened to without feeling like i ll be punished or regret what i say,sad
i wont get my feelings hurt,sad
i made what you might call a business miscalculation or a cock up if youre feeling less generous,love
im really starting to feel like a paranoid wreck and am not quite sure how im going to survive the coming weeks running up to my big milestone of weeks when our little alexander was born let alone the time after that,fear
i am often thinking these days what if i got that dreaded phone call from austria to tell me my father is gone i am almost forty years old right now and i must realize that one day that day will come if i live that long myself that is i feel very frightened for that moment i love my dad,fear
i feel positive about what i am doing,joy
i feel so isolated and alone except for my mom there are other women my age struggling the same way i am,sad
i feel so neurotic sometimes,fear
i have been feeling restless and not quite grounded,fear
i tend to feel inhibited for some reason,fear
i feel like its so obnoxious to show off how in love you are in public,anger
i feel angry about everyone that has hurt you in your life,anger
i don t know if it is hormonal or if it is true depression but there are times when i feel overwhelmed by the duties that surround me yet not valued for the work i do,fear
i knew she would be sad upset filled with avoidance and weighed down by tragedy but she doesnt feel fake,sad
i feel deeply blessed to be a part of something where i can work harder than ever to help people and in the process change myself,love
i feel bad for her but i feel like she s one of those resource raping alien civilizations that visits planets decimates them and then leaves,sad
i had been drinking with a pal and i later o clock had a date with my fiancee we were going to a spanish lesson and i was afraid that she would smell that i had been drinking,fear
i would feel repressed,sad
i know that if im feeling this way there are guys in san francisco that are equally as furious,anger
i feel soluke you must have been quite pissed off at rebecca s article inthe daily world says zelda,anger
im feelin determined to recapture the attitude i had going in and live my entire life that way,joy
i remember feeling curious about my mums and sisters clothes when i was in the third year of primary school,suprise
i felt to tell her that all this today morning because of dream but if i tell she feels i have gone mad,anger
i want to understand another part of culture that im not exposed to but most of my experiences leave me feeling isolated because i cant relate to anyone,sad
i hate feeling rushed but what do i expect when i wasted my morning sleeping instead of prepping for the day,anger
i all carol here i feel a little overwhelmed at the moment so if you have any important news of any kind please please let me know via e mail,suprise
i feel lame when it comes to my cookie cutters,sad
i know how it feels to be stunned by your own existence feeling that nothing is real or that you are trapped inside your own body,suprise
i am annoyed that i feel grouchy and this makes me grouchier,anger
i feel so amazed when ever i find a person i shot again,suprise
i woke up far too early for my liking this morning with iris while it was still dark i heard her jabbering up a storm in her crib and so as i am feeling quite groggy,sad
i feel like thats the only time its really wholeheartedly accepted,love
i headed out of my apartment this morning to get a look at the crowds and a feel for the city before dawm and i was amazed at the number of people already out,suprise
im positive is that they may feel like they are loving their child,love
i feel like the lace looks delicate but is more sturdy than you might realize i snagged a few lace y bits through the day and there is no damage as far as i can see,love
i had a good nights sleep and woke this morning feeling fairly energetic,joy
i feel so ungrateful but im trying very hard to ap,sad
i feel anxious as i usually do around this time of night,fear
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy
i feel frightened like something is ending,fear
i have alot of trouble accepting any help from my dad because i feel like hell look at how i use any resource he gives me and be dissatisfied with how i do it or just refuse to help me thinking that denying me aid with a tough love attitude is somehow helpful,anger
i am angry and sad and feeling so bitter i know for my veteran and family i cannot be a quitter,anger
i feel as though a lot of restaurants coffee shops excluded have been more hesitant to leverage the power of social networking for marketing i,fear
i feel the exuberance of children and laugh as they say or do something cute or funny,joy
i pray that at some time in your lives i can make you all feel as loved as i have felt from you,love
i feel like my boyfriend isnt as affectionate as he was before,love
i feel distressed but on the other hand im really happy about it,fear
i feel like kate moss is extremely supportive of me,love
i want to make this shift in such a way that the kids don t notice too much or feel deprived and yet know enough to graciously turn down food that s not included in this adventure,sad
i promise babe and if you want me to stop at anytime just say and i will ok all the time i m saying this i make sure i m looking directly into his eyes so he feels reassured,joy
ill go to sleep with a knot in my stomach this achy feeling reminding me how much i am bothered by this problem and wondering how i will be a part of the solution,anger
i am feeling shaky and tired i feel like i do when i go on a long run without eating and come home and just really wanting a banana or some gatorade,fear
i feel may you learn from our loved ones and know that they are truly gifts from above,love
i feel overwhelmed by the raw beauty of it all and overwhelmed by the mass amount of poverty and problems,suprise
i feel that brands that puts this much effort in ensuring their customers are pleasantly surprised deserves respect,suprise
i like them both and i know they are the same but i have the feeling stella s more hot tempered than she lets on,love
i came to the awareness that this is my pattern to feel overwhelmed during this time of the year,suprise
i can trust them with these thoughts and feelings makes me feel valued and loved,joy
i hope you are starting to feel festive because our theme this week is christmas in october,joy
i love to be creative and feel that i may have missed my true calling,sad
i take the uk hands down on a lot of topics on the topic of sunshine i will always feel a twinge of longing for my west coast usa origins,love
i have more energy but on the other hand i feel restless and feel like i m doing everything at mph and that i need to get up and run or something,fear
i have known something was up for sometime now i have had feelings that you have not been faithful to me and that it had to be a teacher at school that is the only place you go to,love
i do not feel your presence give me grace to remain faithful through confusion and frustration im still not feeling you lord,love
i feel sad and low for nothing a href http twitter,sad
i started feeling like a heartless jerk,anger
i gaining support but i feel as if i am also supporting others too,joy
i know that is a highly resistant subject so i m not feeling any confusion about that but i still feel surprised that it s the thing that we have tied our freedom and choices and yet we don t discuss it,suprise
i wore get your pretty on s i feel pretty,joy
i studied those increasingly famous kindle singles feeling just a little amazed that susan orleans earned a href http www,suprise
i feel like we could be friends so that s cool,joy
i was able to talk passionately about it and i believe people could feel that i was really passionate about what i was doing,love
i might feel glad that i wouldnt have to be stressed about whether my grandmother would be upset by that plan but i think i would also feel confident that if my grandmother could know what i had done that she would at this stage of her existence be pleased by it,joy
i feel amazing and i want to keep it that way,suprise
i feel unhappy and scared,sad
i understand this may feel weird or cheesy,fear
i took the earphones out i came back to reality and i didnt like the feeling i hated the noise of the bathroom and everything surrounding me,sad
i feel so doubtful and critical about everything that i do or think about doing,fear
i just move my mortgage my savings my credit card and my checking account to another bank if this is how you feel that a longterm and loyal customer is to be treated,love
i feel pity for them for whatsoever reasons that i guess they wear upon t know how it feels to stand p bents so gentle and caring,love
i feel for it but i am also incredibly amused by it,joy
i dropped erik off feeling rather discontent with the evening,sad
i feel graceful like a panther a panther with a black mane and brown eyes,joy
id like to help the guy out i feel sympathetic but its awkward when you dont really have anything in common,love
i feel like it has become part of my day and when it s gone it feels weird,suprise
i need to tell him how i feel i thought that was really sweet of him,love
im feeling really nostalgic,love
i feel like an idiot since i forgot to take a picture of the thing that i liked most,love
i feel like i might get into my little miss sarcastic bash on a man mood and run him off though,anger
i gotta say even before he started to have feelings for me he s always been sweet to me,love
i feel heartbroken in reading this piece of news how pointless the government is doing,sad
im feeling apprehensive this morning about going back to my life in minnesota,fear
i woke up feeling distressed and couldnt think of an ideal breakfast that i want,fear
i am developing thicker skin i still feel shaken when i read some peoples vicious comments about me,fear
i have to stay with the dogs because obviously we cannot leave em on their own and i am really feeling rather useless that i cant do more because of it and i was just sat here thinking that it is actually rather cold,sad
i remember feeling extremely terrified at the end of the book at thirteen years this very close and sympathetic character who is ultimately unmasked as the enemy that is terrifying the mask drops,fear
i feel that after seeing what has become of my beloved hollywood in the past decade that this is my sworth duty and sacred oath,joy
i hate the feeling of being unsure about someones feelings towards you,fear
i am feeling low and i am blank about what to do,sad
i can rely on these things when my world feels shaky,fear
i am not feeling so indecisive after all,fear
i do feel its slightly too rich to use twice a day and save it only for my nighttime routine,joy
i had to get up to go to the bathroom a lot and was feeling pretty restless,fear
i feel like i m such an ungrateful ingrate for leaving regardless,sad
im still feeling pretty stunned and havent quite gotten my head around it yet,suprise
ive wrestled in my mind that i just couldnt get rid of it because if i did it would mean going back to feeling ugly to feeling so so small no pun intended but what would that mean,sad
i feel satisfied knowing that he knows the way and if i surrender and keep my eyes fixed on him all will be well,joy
i feel damaged because i don t know what s gonna be my future,sad
i can t help it that it feels good or that i see it as in my self interest,joy
i can say is youll spend much of your married life feeling insulted,anger
i never really wanted to die but feeling so isolated in a world where i thought i was the only one to experience this turns out im not thats where blogs of all kinds especially beauty amp fashion related ones became my new best friend,sad
i feel like my weight lifting always gets derailed and is rather unsuccessful,sad
i feel like people who live there are all putting on a show for the world nyc can be an obnoxious place with fake people,anger
i feel intimidated as i did with perks i know it s a good sign,fear
i feel the urge to get out there every day even when ive already determined to take a day off,joy
i can skip public urination but its the feeling of those moments not caring about being seen,love
i don t feel like supporting idiocy tonight,love
i hope that other sane folks who feel this trend is dangerous and alarming start to speak up and ask the questions and demand answers,anger
i can stand feeling humiliated for the sake of my patients,sad
i feel extremely selfish as i say this but i want to close the door,anger
i dont ever want to say too much but in the odd case that my thoughts are helpful to one of you i feel impressed to share whats on my mind,suprise
i feel as though i ve loved you forever you know,love
i feel foolish that i m a rabid fan of a subsection in an exemption law,sad
i feel stressed,anger
i am learning make me feel like i am not very smart but then i just remind myself that i have not ever been through this before and its ok to not understand completely but to just keep learning,joy
i dont have time for making whoppers at present as my priority is to make small pots for an exhibition in tokyo in the spring but ill get on to it once i feel confident that ive enough stock behind me,joy
i feel impressed to emphasize what the lord has designated as the most important meeting in the church and that is the sacrament meeting,suprise
i just feel vulnerable right now,fear
i began feeling the cold creeping up from my hands and feet until i was shivering every so often and so i decided to get up take one last appreciative look around me and make my way back to catch the train,anger
im feeling impatient and frustrated about everything and nothing the best word i can use to describe my mood right now is trapped,anger
i was feeling so welcomed in the flea market,joy
i used drugs to inhibit my ability to feel drugs in turn inhibited my ability to think clearly which inhibited my ability to see the cop car across the street when i was dealing,fear
i feel like ive fucked things up,anger
i feel really damn terrified and rushed to my classroom where my friends are playing and joking around,fear
i feel amazed because when he watch his victim intensely the lying blonde has a pretty face like a girl his skin so smooth his lips so soft and pink and,suprise
i didnt feel very well there because i was only white girl there so i felt that i am on a spot because everyone was staring me,joy
i said i liked him but didn t have feelings for him and then he was offended when i said that i don t understand why guys expect me to have feelings for them so quickly,anger
i feel a submissive,sad
i feel im devastated im lost,sad
i now feel the longing to be close but am so humbled and awed by god at the same time,love
i am and feel special in my own unique way,joy
i am feeling so overwhelmed anxious lonely and sad,fear
i could not find much support as a bfing mom turned eper from other eping mothers most had no experience with nursing a baby at the breast and could not understand what i was feeling and what i was going through but my nursing mother friends were very supportive and caring,love
i was sleeping nicely until in the middle of the night when i became awake because a friend called me for some in my opinion nonsens reason,anger
i lied to him and told him i didnt feel threatened at all,fear
i really just want to take a bunch of pain killers and not feel crappy anymore but i cant cause im so damn responsible and i refuse to abuse my pain killers again,sad
